说明：字符位置11-16为气压，19-23为高度，26-31为气温，34-38为湿度，48-50为风向，53-57为风速，
55 3419.001003.110   5000  26.710 73.509999.90 11710  8.110999  999.9  99999  9.999  
55 3419.00 997.510  10000  26.210 73.809999.90 11610  8.110999  999.9  99999  9.999  
55 3419.00 991.810  15000  25.710 75.609999.90 11710  8.210999  999.9  99999  9.999  
55 3419.00 986.310  20000  25.210 76.209999.90 11710  8.610999  999.9  99999  9.999  
55 3419.00 980.710  25000  24.810 76.709999.90 12110  8.710999  999.9  99999  9.999  
55 3419.00 975.110  30000  24.310 78.009999.90 12210  9.010999  999.9  99999  9.999  
55 3419.00 969.610  35000  23.910 77.309999.90 12210  9.410999  999.9  99999  9.999  
55 3419.00 964.110  40000  23.510 77.209999.90 12210  9.710999  999.9  99999  9.999  
55 3419.00 958.610  45000  23.110 78.009999.90 12110  9.610999  999.9  99999  9.999  
55 3419.00 953.210  50000  22.610 79.909999.90 11810  9.410999  999.9  99999  9.999  
55 3419.00 947.810  55000  22.410 78.809999.90 11810  9.310999  999.9  99999  9.999  
55 3419.00 942.310  60000  22.310 74.009999.90 11510  9.710999  999.9  99999  9.999  
55 3419.00 937.010  65000  21.910 75.109999.90 11410  9.910999  999.9  99999  9.999  
55 3419.00 931.610  70000  21.410 77.609999.90 11310 10.710999  999.9  99999  9.999  
55 3419.00 926.310  75000  21.110 78.009999.90 11210 10.710999  999.9  99999  9.999  
55 3419.00 921.010  80000  21.010 74.209999.90 11110 10.510999  999.9  99999  9.999  
55 3419.00 915.710  85000  20.710 74.309999.90 10910  9.810999  999.9  99999  9.999  
55 3419.00 910.410  90000  21.310 58.209999.90 10710  8.910999  999.9  99999  9.999  
55 3419.00 905.210  95000  21.910 44.309999.90 10510  8.610999  999.9  99999  9.999  
55 3419.00 900.010 100000  21.610 48.109999.90 10310  8.410999  999.9  99999  9.999  
55 3419.00 894.910 105000  21.210 53.009999.90 09510  8.010999  999.9  99999  9.999  
55 3419.00 889.710 110000  21.110 51.809999.90 08910  7.610999  999.9  99999  9.999  
55 3419.00 884.610 115000  21.010 53.409999.90 08210  7.410999  999.9  99999  9.999  
55 3419.00 879.610 120000  20.810 55.309999.90 08010  7.610999  999.9  99999  9.999  
